title,raised_goal,description,comment
ALS and it's financial burden,"$925 raised of $30,000 goal","Hi, My name is Molly I am the wife and caretaker of my husband. He was diagnosed with ALS in September of 2021. He worked up until he couldn't which was around March of 2022. We have 7 kids altogether we are a blended family, 5 kids in the home. I had to stop working in May because he simply cannot be left alone. He has lost use of his hands, his speech has been terrible a while now, and now his legs are going. He is sacrificing his body and time doing experimental treatments, in hopes of finding a cure. Not just for him, but for anyone in the ALS Community (PALS). He is on his second round of experimental treatments at John Hopkins. Also he is committed to keeping doing the experiments as long as his body will allow him to do so. Durning this experimental treatment we have to travel to John Hopkins once a week. Every other week we have to stay in the hospital for 8 hours when he receives the drug or the placebo we don't know. It gets injected into his spine. I've waited 7 months to become his paid caretaker, which is barely anything and they only give me 24.5 hours a week. We only get social security for him they won't give it to us for our kids. We are scraping by the skin of our teeth at this point. We've had one person help us out, it's just not enough. Also our vehicle needs about $3,000 worth of work done that's just in labor we already bought the parts. Me and my family would appreciate any support if you are able to donate. It is very hard for us to ask for help especially from strangers, it's just at that swallow your pride point. Bless you all and your families, stay well!
Read more",[]
Alleviate financial burden to save Nina's life,"$1,175 raised of $12,300 goal",Read more,[]
Let's help Matt cover the cost of his Treatment,"$26,347 AUD raised of $20,000 goal","Hi, my name is Sharon and I'm fundraising to help cover the cost of medical expenses for a great guy named Matt King. In all honesty, I have only know Matt for a little over 2 years now, when he came into my good friend Caroline's life and changed it for the better. Whilst I have only known Matt for a relatively short time, It didn't take long for me to see what an amazing, caring, loving and genuine guy he is.

As you may know, Matt has recently been diagnosed with Metastatic Alveolar Soft Part Sarcoma (ASPS), which is an extremely rare cancer. Matt's treatment plan involves Radiotherapy which he is doing privately in order to get treatment quickly, and therefore has out of pocket costs for Matt to pay himself. In addition to radiotherapy, Matt will start on Tecentriq (Atezolizumab) which is an immunotherapy drug that has only recently been approved for use in ASPS patients in America. As it is not approved for Matts type of cancer in Australia, it is not on the PBS schedule and therefore Matt will have to pay the full cost himself, with each vial costing $6747.37 on top of the radiotherapy out of pocket costs.




Read more",[]
Fund access to drugs for Jack's cancer treatment,"$247,465 AUD raised of $500,000 goal","This is Jack…or Jack Jack as he’s known to his family and friends.

In April of 2023, he was like any other curious boundary pushing three year old. He wanted to be a dolphin when he grew up. He was happiest when playing with his brother Ted, making cups of tea in his kitchen and watching old school Scooby Doo and Smurfs. His favourite colour was yellow. Then he came home with a limp.

Three weeks later, four doctors walked into our room to advise us our baby bear had stage IV cancer. Neuroblastoma.
Whilst Jack had been playing, swimming, sleeping, laughing and giving “huggles” his nerves cells had failed to mature properly, resulting in a mandarin sized tumour growing near his adrenal gland and kidney. From there it spread to lymph nodes, bone marrow and his bones, from the top of his beautiful head down to his toes.



















Read more",[]
Help Robin access life prolonging drugs.,"£120 raised of £1,000 goal","Hi my name is Theresa and I am creating a fundraiser for 17 year old Robin. She is the daughter of an old school friend of mine. They live in South Africa where health care is privately funded and access to treatment of any sort is not always straight forward. And certainly not a ‘given’, that when needed, all treatment options will be made available to you free of charge. Thus far, Robin has endured a gruelling 18 months of major surgery, chemotherapy (with awful side effects) scans, tests, more tests and difficult conversations with specialists. Access to the palliative drugs described in the YouTube video will give Robin and her family more time. So please, please donate, and help this amazing young woman.














Read more",[]
Fund access to drugs for Jack's cancer treatment,"$247,465 AUD raised of $500,000 goal","This is Jack…or Jack Jack as he’s known to his family and friends.

In April of 2023, he was like any other curious boundary pushing three year old. He wanted to be a dolphin when he grew up. He was happiest when playing with his brother Ted, making cups of tea in his kitchen and watching old school Scooby Doo and Smurfs. His favourite colour was yellow. Then he came home with a limp.

Three weeks later, four doctors walked into our room to advise us our baby bear had stage IV cancer. Neuroblastoma.
Whilst Jack had been playing, swimming, sleeping, laughing and giving “huggles” his nerves cells had failed to mature properly, resulting in a mandarin sized tumour growing near his adrenal gland and kidney. From there it spread to lymph nodes, bone marrow and his bones, from the top of his beautiful head down to his toes.



















Read more",[]
Help Ibrahim access lifesaving medicine,€382 raised,"Hi, my name is Rida and I am pursuing my master's in political communication from the University of Amsterdam on an Erasmus Mundus scholarship. My cousin, Ibrahim residing in Pakistan is suffering from a rare genetic disorder, SMA (Spinal Muscular Atrophy) type 2 which affects the motor neurons of the body and leads to the weakening of muscles, resulting in his inability to walk. His disease is progressive and the doctors have declared his condition threatening to the extent that he might not live long enough to celebrate his 18th birthday. As this is a rare genetic disorder affecting very few people, there was no medication available in Pakistan up until 2021.

Roche pharmaceutical is now the only organization in Pakistan that is providing medication for this very rare disease. Under their Compassionate Use Program, they provided free medication (called Risdiplam) to Ibrahim in August 2021. However, starting this year (2023) the program has terminated, and Ibrahim is not able to access this life-saving drug for this progressive, dangerous disease.


Read more",[]
Help Trast get into drug Treatment!,"$8,170 raised of $7,500 goal","On August 23 of 2014, Trast first ran away. We struggled to find him and succeeded less than a month later on September 17 to bring him home and get him into a treatment center. That time around, the out of pocket expenses were too much when the insurance company decided he didn't need treatment anymore.

We went through great efforts to get him cleaned up and he even went back to Wisconsin for a few months after his treatment to spend time under the thumb of his wise AA Grandpa. He did well during that time, but little did we know that he planned to run away again the moment he got back to LA. 

This time, Trast was on the run for over a year, living on the streets of Southern California, and they were not kind to him. Trast suffered a brutal accident at one point, costing him most of a finger and a month in the hospital in order to receive a sequence of three suguries.

We lost all contact with him during this time, as did even his closest friends and we feared the worst. Hope was revived when the photo of him surfaced on the . While it was clear that his addiction to meth had taken hold of him, at least we knew he was alive.


Through contacting  and the , we learned that he was in fact still in LA and our intense search instantly resumed. He was found once again on Monday March 14 , 2016, as a wonderful birthday gift to his mother, and we're looking to get him back into treatment.

Fortunately, he wants the help he needs and we're very optimistic. His one request of his mother as he goes back into treatment this time is that he have regular access to her and his brother.








Read more",[]
Help with costs of medications and monthly bills,"$575 raised of $5,000 goal","Hi, I'm Stacey and I'm fundraising to help cover monthly necessities for my stepfather and mother.
As many know, Gary was diagnosed with Stage IV lung cancer. He has been very sick and not able to work any longer. My mom has been the only source of income for them.
Her work hours have been tremendously shortened because of having to take him to treatments, daily.
Gary was recently given permission to seek outside treatment from the VA, however, the VA will not cover the costs of his medications, and that is the only health insurance he has. One medication is his anti-nausea medication and it is about $200 without a prescription, and it's a medication he needs.
Any help that will be given will go directly to cover the costs of his medications and towards monthly bills.",[]
Medication cost for Charleigh,"$465 raised of $1,600 goal",I am doing a fundraiser for a medication that our 14 year old daughter needs for her Epilepsy. We have tried many resources with no luck. This will hopefully cover the copay which will also meet our deductible so it will only be $80 a month after. Plus the amount gofundme will take out. The medication is $1250.00 and she also needs seizure rescue meds that are $200 with our insurance. One of these are left with the school nurse. Any amount will help. She only has 2 days worth of this medication left Please share. Thank you ❤️,[]
To help cover costs medication and travel expenses,"$4,180 CAD raised of $10,000 goal","Hi, my name is Stephanie Taylor and I am fundraising for some support for a dear man to me Bill MacQuarrie. Bill MacQuarrie has been a diabetic for many years but recently diagnosed with stage 5 kidney disease and going through CT scans for the lungs as a mass has been detected. Bill hasn’t smoked for about 40 years. He has been an underground miner for the last 40 years in Flin Flon, Manitoba and has since retired. Ever since then it seems like life has just thrown him one curve ball after another. It breaks my heart to see such a strong man so vulnerable. Bill is the strongest and most selfless man I know. He is a wonderful father, husband, grandfather, uncle, brother and friend! His children, grandchildren, nieces and nephews mean the world to him. We all wish we could take away his pain and heal his condition. Unfortunately, we can’t and his medical coverage doesn't, cover the costs of all his medications and travel expenses. We live in a remote community and his doctors who have been amazing are 6 hours away. He is receiving a lot of support from friends and family but there is only so much we can do. There is a lot of traveling due to appointments, monthly medication bills that his pension and benefits just doesn’t cover. If you are able to help donate to help relief some stresses of this amazing family, anything would be appreciated. All the money will go directly to Bill and Elaine to cover there expenses.
Read more",[]
